name;address;lat;lon;image_photo;info
Радуга;ул. Красина, 4/1, Омск, Омская обл.;73.364170;54.987059;https://raduga-omsk.ru/images/logo.png;Помогаем детям с тяжёлыми и неизлечимыми заболеваниями. Мы делаем все возможное на пути к выздоровлению детей Омска и Омской области, даже когда кажется, что шансов не осталось.
МосВолонтёр;Москва, Ленинградский пр-т, д. 5, стр.1, ГБУ города Москвы «Мосволонтёр»;37.577285;55.779474;https://tak-prosto.org/wp-content/uploads/2015/12/Mosvolonter.jpg;Волонтёрское движение Москвы — это сплочённая команда добровольцев, для которых нет чужих бед и проблем и есть одно общее дело. И ничто не объединяет людей так, как стремление приносить пользу окружающим и обществу. Самые юные московские добровольцы учатся в наших школах, самые старшие ещё 60 лет тому назад открывали первый Всемирный фестиваль молодёжи и студентов в Москве.
Центр волонтерского движения Алексея Вихарева;ул. 8 марта, 8д, пр. Академика Сахарова 51;60.600214;56.834792;https://волонтеры-вихарева.рф/wp-content/uploads/2025/02/5267160112005508568_y_2.jpg;Основатель Волонтерского центра Вихарев Алексей Андреевич — адвокат, активный общественный деятель, депутат, руководитель фракции «Единой России» в городской Думе Екатеринбурга.
Международный комитет красного креста;5, Queen Elisabeth Street, Off Yakubu Gowon Crescent Asokoro, FCT Abuja;9.28103260957215;7.589578114690197;https://www.icrc.org/sites/default/files/styles/desktop_full/public/2024-02/jpeg-optimizer_V-P-NG-E-01084.JPG.webp?itok=vB2xIxxP;В Нигерии МККК оказывает помощь людям, пострадавшим от вооруженного конфликта и насилия, особенно на северо-востоке страны. Мы содействуем распространению знаний о международном гуманитарном праве и других нормах, которые защищают людей в случае вооруженного насилия, и поддерживаем работу Нигерийского общества Красного Креста в области реагирования на чрезвычайные ситуации.
